scan,symbol,date
IPO3yr,HOOD,2025-06-20
IPO3yr,OKLO,2025-06-20
IPO3yr,PTHL,2025-06-20
IPO3yr,RGC,2025-06-20
IPO3yr,SGMT,2025-06-20
IPO3yr,UMAC,2025-06-20
IPO3yr,ASPI,2025-06-20
IPO3yr,CRDO,2025-06-20
IPO3yr,IREN,2025-06-20
IPO3yr,RBLX,2025-06-20
IPO3yr,UPXI,2025-06-20
IPO3yr,AS,2025-06-20
IPO3yr,COIN,2025-06-20
IPO3yr,LIF,2025-06-20
IPO3yr,RBRK,2025-06-20
IPO3yr,SYM,2025-06-20
IPO3yr,VERV,2025-06-20
IPO3yr,KRMN,2025-06-20
IPO3yr,MTSR,2025-06-20
IPO3yr,OLO,2025-06-20
IPO3yr,SRAD,2025-06-20
IPO3yr,AFRM,2025-06-20
IPO3yr,ODD,2025-06-20
IPO3yr,RDDT,2025-06-20
IPO3yr,ATAT,2025-06-20
IPO3yr,AHR,2025-06-20
IPO3yr,ALAB,2025-06-20
IPO3yr,BASE,2025-06-20
IPO3yr,NXT,2025-06-20
IPO3yr,TEM,2025-06-20
IPO3yr,VIK,2025-06-20
IPO3yr,WRBY,2025-06-20
IPO3yr,ZK,2025-06-20
IPO3yr,AMPL,2025-06-20
IPO3yr,CPNG,2025-06-20
IPO3yr,TOST,2025-06-20
IPO3yr,HNGE,2025-06-20
NewRSHigh,AMPX,2025-06-20
NewRSHigh,CDTX,2025-06-20
NewRSHigh,HOOD,2025-06-20
NewRSHigh,LEU,2025-06-20
NewRSHigh,MP,2025-06-20
NewRSHigh,OUST,2025-06-20
NewRSHigh,PGY,2025-06-20
NewRSHigh,PRCH,2025-06-20
NewRSHigh,PSIX,2025-06-20
NewRSHigh,PTHL,2025-06-20
NewRSHigh,QS,2025-06-20
NewRSHigh,RKLB,2025-06-20
NewRSHigh,SMR,2025-06-20
NewRSHigh,ASPI,2025-06-20
NewRSHigh,ASTS,2025-06-20
NewRSHigh,JOBY,2025-06-20
NewRSHigh,RBLX,2025-06-20
NewRSHigh,AMSC,2025-06-20
NewRSHigh,COIN,2025-06-20
NewRSHigh,FUTU,2025-06-20
NewRSHigh,GEV,2025-06-20
NewRSHigh,KTOS,2025-06-20
NewRSHigh,LIF,2025-06-20
NewRSHigh,SBSW,2025-06-20
NewRSHigh,SYM,2025-06-20
NewRSHigh,TPR,2025-06-20
NewRSHigh,U,2025-06-20
NewRSHigh,ATI,2025-06-20
NewRSHigh,CRS,2025-06-20
NewRSHigh,FIVE,2025-06-20
NewRSHigh,HWM,2025-06-20
NewRSHigh,RCL,2025-06-20
NewRSHigh,STRL,2025-06-20
NewRSHigh,TLN,2025-06-20
NewRSHigh,CCJ,2025-06-20
NewRSHigh,IBKR,2025-06-20
NewRSHigh,UUUU,2025-06-20
NewRSHigh,NEXT,2025-06-20
NewRSHigh,APH,2025-06-20
NewRSHigh,DY,2025-06-20
NewRSHigh,WWD,2025-06-20
NewRSHigh,FN,2025-06-20
NewRSHigh,MTZ,2025-06-20
NewRSHigh,VIK,2025-06-20
NewRSHigh,C,2025-06-20
NewRSHigh,CPNG,2025-06-20
NewRSHigh,EADSY,2025-06-20
NewRSHigh,CG,2025-06-20
NewRSHigh,EME,2025-06-20
NewRSHigh,AZZ,2025-06-20
NewRSHigh,PWR,2025-06-20
NewRSHigh,TRMB,2025-06-20
NewRSHigh,BK,2025-06-20
NewRSHigh,LGND,2025-06-20
NewRSHigh,GLXY,2025-06-20
NewRSHigh,TDY,2025-06-20
NewRSHigh,SCHW,2025-06-20
UnusualVol,AMPX,2025-06-20
UnusualVol,BKSY,2025-06-20
UnusualVol,HOOD,2025-06-20
UnusualVol,MP,2025-06-20
UnusualVol,PDYN,2025-06-20
UnusualVol,PGY,2025-06-20
UnusualVol,PSIX,2025-06-20
UnusualVol,PTHL,2025-06-20
UnusualVol,QS,2025-06-20
UnusualVol,SBET,2025-06-20
UnusualVol,ASPI,2025-06-20
UnusualVol,JOBY,2025-06-20
UnusualVol,TTMI,2025-06-20
UnusualVol,UPXI,2025-06-20
UnusualVol,COIN,2025-06-20
UnusualVol,FARO,2025-06-20
UnusualVol,FUTU,2025-06-20
UnusualVol,KTOS,2025-06-20
UnusualVol,METC,2025-06-20
UnusualVol,SRRK,2025-06-20
UnusualVol,KRMN,2025-06-20
UnusualVol,LMB,2025-06-20
UnusualVol,OLO,2025-06-20
UnusualVol,TIGR,2025-06-20
UnusualVol,TLN,2025-06-20
UnusualVol,IBKR,2025-06-20
UnusualVol,IESC,2025-06-20
UnusualVol,LUNR,2025-06-20
UnusualVol,PPTA,2025-06-20
UnusualVol,UUUU,2025-06-20
UnusualVol,MSTR,2025-06-20
UnusualVol,CALX,2025-06-20
UnusualVol,CRSP,2025-06-20
UnusualVol,WBD,2025-06-20
UnusualVol,BYON,2025-06-20
UnusualVol,DRS,2025-06-20
UnusualVol,NFLX,2025-06-20
UnusualVol,AIR,2025-06-20
UnusualVol,ECG,2025-06-20
UnusualVol,LAUR,2025-06-20
UnusualVol,LPLA,2025-06-20
UnusualVol,ONC,2025-06-20
UnusualVol,ROAD,2025-06-20
UnusualVol,BCS,2025-06-20
UnusualVol,GENI,2025-06-20
UnusualVol,SPHR,2025-06-20
WklyUnusualVol,AMPX,2025-06-20
WklyUnusualVol,BKSY,2025-06-20
WklyUnusualVol,MP,2025-06-20
WklyUnusualVol,PDYN,2025-06-20
WklyUnusualVol,PGY,2025-06-20
WklyUnusualVol,PSIX,2025-06-20
WklyUnusualVol,PTHL,2025-06-20
WklyUnusualVol,QS,2025-06-20
WklyUnusualVol,RGTI,2025-06-20
WklyUnusualVol,RKLB,2025-06-20
WklyUnusualVol,SBET,2025-06-20
WklyUnusualVol,ACHR,2025-06-20
WklyUnusualVol,ASPI,2025-06-20
WklyUnusualVol,JOBY,2025-06-20
WklyUnusualVol,RBLX,2025-06-20
WklyUnusualVol,SGHC,2025-06-20
WklyUnusualVol,TNXP,2025-06-20
WklyUnusualVol,TTMI,2025-06-20
WklyUnusualVol,UPXI,2025-06-20
WklyUnusualVol,VNET,2025-06-20
WklyUnusualVol,VRNA,2025-06-20
WklyUnusualVol,FARO,2025-06-20
WklyUnusualVol,FUTU,2025-06-20
WklyUnusualVol,GDS,2025-06-20
WklyUnusualVol,KTOS,2025-06-20
WklyUnusualVol,METC,2025-06-20
WklyUnusualVol,SRRK,2025-06-20
WklyUnusualVol,SYM,2025-06-20
WklyUnusualVol,U,2025-06-20
WklyUnusualVol,WLDN,2025-06-20
WklyUnusualVol,ENVX,2025-06-20
WklyUnusualVol,KRMN,2025-06-20
WklyUnusualVol,TIGR,2025-06-20
WklyUnusualVol,TLN,2025-06-20
WklyUnusualVol,IBKR,2025-06-20
WklyUnusualVol,IESC,2025-06-20
WklyUnusualVol,LUNR,2025-06-20
WklyUnusualVol,TWLO,2025-06-20
WklyUnusualVol,UUUU,2025-06-20
WklyUnusualVol,AVAV,2025-06-20
WklyUnusualVol,NEXT,2025-06-20
WklyUnusualVol,PBI,2025-06-20
WklyUnusualVol,CALX,2025-06-20
WklyUnusualVol,CRSP,2025-06-20
WklyUnusualVol,WBD,2025-06-20
WklyUnusualVol,GE,2025-06-20
WklyUnusualVol,AIR,2025-06-20
WklyUnusualVol,C,2025-06-20
WklyUnusualVol,LAUR,2025-06-20
WklyUnusualVol,LI,2025-06-20
WklyUnusualVol,LPLA,2025-06-20
WklyUnusualVol,ONC,2025-06-20
WklyUnusualVol,ROAD,2025-06-20
WklyUnusualVol,TIGO,2025-06-20
WklyUnusualVol,AMD,2025-06-20
WklyUnusualVol,BCS,2025-06-20
WklyUnusualVol,BPMC,2025-06-20
WklyUnusualVol,PENG,2025-06-20
WklyUnusualVol,RMBS,2025-06-20
WklyUnusualVol,TSM,2025-06-20
WklyUnusualVol,WT,2025-06-20
WklyUnusualVol,AZZ,2025-06-20
WklyUnusualVol,GMS,2025-06-20
WklyUnusualVol,PJT,2025-06-20
